model_name,number_of_epochs,batch_size,duration,train_accuracy,test_accuracy,train_loss,test_loss
model_1_epoch_15_batch_size_16_duration_3.0.h5,15,16,3.0,0.10880458354949951,0.10818546265363693,2.258256673812866,2.2640769481658936
model_1_epoch_15_batch_size_16_duration_4.0.h5,15,16,4.0,0.6836077570915222,0.6846022009849548,0.9522309899330139,1.0290075540542603
model_1_epoch_15_batch_size_32_duration_1.0.h5,15,32,1.0,0.5311381816864014,0.47338294982910156,1.3371676206588745,1.4483603239059448
model_1_epoch_15_batch_size_32_duration_1.5.h5,15,32,1.5,0.5710808634757996,0.47052088379859924,1.260896921157837,1.5380123853683472
model_1_epoch_15_batch_size_32_duration_2.0.h5,15,32,2.0,0.6518253684043884,0.6846022009849548,1.0017387866973877,0.9781760573387146
model_1_epoch_15_batch_size_32_duration_3.0.h5,15,32,3.0,0.577093780040741,0.4894104301929474,1.2077741622924805,1.4364482164382935
model_1_epoch_15_batch_size_32_duration_4.0.h5,15,32,4.0,0.6345025300979614,0.5317687392234802,1.0641013383865356,1.4715467691421509
model_1_epoch_15_batch_size_64_duration_1.0.h5,15,64,1.0,0.3918396532535553,0.2919290065765381,1.6235235929489136,1.908402681350708
model_1_epoch_15_batch_size_64_duration_1.5.h5,15,64,1.5,0.5049391388893127,0.41099026799201965,1.3653026819229126,1.8457698822021484
model_1_epoch_15_batch_size_64_duration_2.0.h5,15,64,2.0,0.4483894109725952,0.3554665148258209,1.5296554565429688,1.7908737659454346
model_1_epoch_15_batch_size_64_duration_3.0.h5,15,64,3.0,0.5348604321479797,0.5020034313201904,1.3061003684997559,1.4863499402999878
model_1_epoch_15_batch_size_64_duration_4.0.h5,15,64,4.0,0.11825340241193771,0.10818546265363693,2.258235454559326,2.2642762660980225
model_1_epoch_15_batch_size_128_duration_1.0.h5,15,128,1.0,0.37337151169776917,0.3806525468826294,1.71555495262146,1.6434186697006226
model_1_epoch_15_batch_size_128_duration_1.5.h5,15,128,1.5,0.11195418983697891,0.10589582473039627,2.2618467807769775,2.2640106678009033
model_1_epoch_15_batch_size_128_duration_2.0.h5,15,128,2.0,0.3490336537361145,0.37321120500564575,1.7063260078430176,1.6559993028640747
model_1_epoch_15_batch_size_128_duration_3.0.h5,15,128,3.0,0.6471009254455566,0.7303949594497681,1.0257760286331177,0.8733459115028381
model_1_epoch_15_batch_size_128_duration_4.0.h5,15,128,4.0,0.47029349207878113,0.4218660593032837,1.41848623752594,1.590244174003601
model_1_epoch_20_batch_size_8_duration_1.0.h5,20,8,1.0,0.5587688088417053,0.5060102939605713,1.2638808488845825,1.4763667583465576
model_1_epoch_20_batch_size_8_duration_1.5.h5,20,8,1.5,0.5809592008590698,0.47166571021080017,1.214218020439148,1.6116840839385986
model_1_epoch_20_batch_size_8_duration_2.0.h5,20,8,2.0,0.5066571235656738,0.46536919474601746,1.3719786405563354,1.5317059755325317
model_1_epoch_20_batch_size_8_duration_3.0.h5,20,8,3.0,0.6260558366775513,0.43102461099624634,1.0774221420288086,1.888971209526062
model_1_epoch_20_batch_size_8_duration_4.0.h5,20,8,4.0,0.11267000436782837,0.10818546265363693,2.2580227851867676,2.2639122009277344
model_1_epoch_20_batch_size_16_duration_1.0.h5,20,16,1.0,0.6095919609069824,0.6141957640647888,1.143008828163147,1.1669306755065918
model_1_epoch_20_batch_size_16_duration_1.5.h5,20,16,1.5,0.633786678314209,0.5592443943023682,1.06288480758667,1.3871322870254517
model_1_epoch_20_batch_size_16_duration_2.0.h5,20,16,2.0,0.6753042340278625,0.6267887949943542,0.9702528119087219,1.20166015625
model_1_epoch_20_batch_size_16_duration_3.0.h5,20,16,3.0,0.6473872661590576,0.49685174226760864,1.019958734512329,1.736392855644226
model_1_epoch_20_batch_size_16_duration_4.0.h5,20,16,4.0,0.6506800055503845,0.41614195704460144,0.9752005338668823,2.885077476501465
model_1_epoch_20_batch_size_32_duration_1.0.h5,20,32,1.0,0.5758053064346313,0.5558099746704102,1.187178134918213,1.257644534111023
model_1_epoch_20_batch_size_32_duration_1.5.h5,20,32,1.5,0.6647101044654846,0.5970234870910645,1.0135176181793213,1.167720079421997
model_1_epoch_20_batch_size_32_duration_2.0.h5,20,32,2.0,0.6363636255264282,0.6136233806610107,1.0724735260009766,1.1534104347229004
model_1_epoch_20_batch_size_32_duration_3.0.h5,20,32,3.0,0.6516821980476379,0.5294790863990784,1.0102026462554932,1.5223674774169922
model_1_epoch_20_batch_size_32_duration_4.0.h5,20,32,4.0,0.6880457997322083,0.5546651482582092,0.9384214878082275,1.4730037450790405
model_1_epoch_20_batch_size_64_duration_1.0.h5,20,64,1.0,0.542161762714386,0.4957069158554077,1.2804031372070312,1.588609218597412
model_1_epoch_20_batch_size_64_duration_1.5.h5,20,64,1.5,0.5656406879425049,0.5678305625915527,1.245112419128418,1.2932244539260864
model_1_epoch_20_batch_size_64_duration_2.0.h5,20,64,2.0,0.11610594391822815,0.10589582473039627,2.2589080333709717,2.264214277267456
model_1_epoch_20_batch_size_64_duration_3.0.h5,20,64,3.0,0.6645669341087341,0.5701202154159546,0.985851526260376,1.3355824947357178
model_1_epoch_20_batch_size_64_duration_4.0.h5,20,64,4.0,0.12054402381181717,0.10589582473039627,2.2578723430633545,2.2640860080718994
model_1_epoch_20_batch_size_128_duration_1.0.h5,20,128,1.0,0.553901195526123,0.6439610719680786,1.2818955183029175,1.129269003868103
model_1_epoch_20_batch_size_128_duration_1.5.h5,20,128,1.5,0.4900501072406769,0.4945621192455292,1.4072279930114746,1.4046026468276978
model_1_epoch_20_batch_size_128_duration_2.0.h5,20,128,2.0,0.537151038646698,0.6141957640647888,1.3049311637878418,1.1544969081878662
model_1_epoch_20_batch_size_128_duration_3.0.h5,20,128,3.0,0.6624194979667664,0.6628506183624268,0.9991670846939087,1.040272831916809
model_1_epoch_20_batch_size_128_duration_4.0.h5,20,128,4.0,0.11080887913703918,0.10589582473039627,2.2596089839935303,2.2639360427856445
